,Section,Status,Error code,Reference,Para.DynPar.r2,Para.DynPar.v2,Rocket.Aero.Coefs.delta
72,,,0,72,[36.32732526  8.7351755  -1.        ],[ 5.46188286e-07  3.28551081e-07 -1.05072900e+01],0.005365763002775428
73,,,0,73,[20.70844822 15.04044511 -1.        ],[-9.05432355e-08  4.15669546e-07 -1.05072900e+01],0.016997430111967873
74,,,0,74,[38.77252286 -1.63313698 -1.        ],[ 6.60245033e-07 -6.29690046e-08 -1.05072900e+01],-0.0009462465555703597
75,,,0,75,[37.36716392 -6.8249625  -1.        ],[ 5.94318933e-07 -2.59501288e-07 -1.05072900e+01],-0.004086862585622419
76,,,0,76,[31.58958834 13.47438343 -1.        ],[ 3.34298437e-07  4.78706052e-07 -1.05072900e+01],0.009435218450634459
77,,,0,77,[38.45757867  3.58925349 -1.        ],[ 6.45384411e-07  1.37963822e-07 -1.05072900e+01],0.0020947506073320165
78,,,0,78,[ 26.12200494 -15.48922898  -1.        ],[ 1.07303680e-07 -5.01940354e-07 -1.05072900e+01],-0.013181781195213843
79,,,0,79,[ 28.67053411 -14.87706932  -1.        ],[ 2.10450443e-07 -5.05678894e-07 -1.05072900e+01],-0.011473620613285563
80,,,0,80,[38.11016184  4.88862304 -1.        ],[ 6.29049559e-07  1.87270814e-07 -1.05072900e+01],0.0028762332046836565
81,,,0,81,[29.74448078 14.4553258  -1.        ],[ 2.55357978e-07  4.99934915e-07 -1.05072900e+01],0.010740625383601638
82,,,0,82,[37.89316151 -5.53610988 -1.        ],[ 6.18878536e-07 -2.11614430e-07 -1.05072900e+01],-0.00327383901347044
83,,,0,83,[38.85058147 -0.32668828 -1.        ],[ 6.63934259e-07 -1.26028935e-08 -1.05072900e+01],-0.00018895845530113894
84,,,0,84,[14.97939205 10.32930214 -1.        ],[-2.21053460e-07  1.41002177e-07 -1.05072900e+01],0.023325753885807158
85,,,0,85,[35.4441863   9.98436527 -1.        ],[ 5.05755701e-07  3.71946363e-07 -1.05072900e+01],0.006272511839526089
86,,,0,86,[ 34.93768643 -10.59831943  -1.        ],[ 4.82754439e-07 -3.92573376e-07 -1.05072900e+01],-0.00674701634925869
87,,,0,87,[ 32.38688712 -12.9360188   -1.        ],[ 3.69063665e-07 -4.64511071e-07 -1.05072900e+01],-0.008843372635657496
88,,,0,88,[37.05566777  7.46536399 -1.        ],[ 5.79840203e-07  2.82946408e-07 -1.05072900e+01],0.004504149785068138
89,,,0,89,[24.58547345 15.60818216 -1.        ],[ 4.77875393e-08  4.88461818e-07 -1.05072900e+01],0.01421671274665095
90,,,0,90,[38.58944353 -2.93779385 -1.        ],[ 6.51601923e-07 -1.13067959e-07 -1.05072900e+01],-0.0017094183069330912
91,,,0,91,[36.70962051 -8.10234692 -1.        ],[ 5.63817960e-07 -3.05983562e-07 -1.05072900e+01],-0.004930039999848048
92,,,0,92,[33.11365329 12.37495978 -1.        ],[ 4.01081507e-07  4.48514522e-07 -1.05072900e+01],0.008283064621848291
93,,,0,93,[38.69425578  2.28582137 -1.        ],[ 6.56549323e-07  8.80652318e-08 -1.05072900e+01],0.0013267944041391749
94,,,0,94,[ 22.80870633 -15.51008861  -1.        ],[-1.80174688e-08 -4.62310197e-07 -1.05072900e+01],-0.015447289532692818
95,,,0,95,[ 20.70844822 -15.04044511  -1.        ],[-9.05432307e-08 -4.15669537e-07 -1.05072900e+01],-0.016997430111967873
96,,,0,96,[38.77252286  1.63313698 -1.        ],[ 6.60245033e-07  6.29690035e-08 -1.05072900e+01],0.0009462465555703577
97,,,0,97,[33.77703301 11.79605171 -1.        ],[ 4.30572292e-07  4.31034677e-07 -1.05072900e+01],0.007749389142993547
98,,,0,98,[36.32732526 -8.7351755  -1.        ],[ 5.46188286e-07 -3.28551081e-07 -1.05072900e+01],-0.00536576300277543
99,,,0,99,[38.45757867 -3.58925349 -1.        ],[ 6.45384421e-07 -1.37963820e-07 -1.05072900e+01],-0.0020947506073320183
